case_id,instance_id,repo,upstream_repo,base_commit,language,generation_method,generation_method_raw,method_family,trajectory_count,fail_to_pass_count,pass_to_pass_count,patch_bytes,image_name
SWESMITH_011,encode__starlette.db5063c2.pr_2183,swesmith/encode__starlette.db5063c2,encode/starlette,1d654fd651793dc1693c39b21fa1ed4a815acb2d,python,pr_mirror,pr_2183,mirror,1,3,838,1235,swesmith.x86_64.encode__starlette.db5063c2
SWESMITH_012,davidhalter__parso.338a5760.func_pm_ctrl_shuffle__cg3az98k,swesmith/davidhalter__parso.338a5760,davidhalter/parso,5d4f41e377174bb1f7b337d16866878e62f5bbdd,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,3,797,599,swesmith.x86_64.davidhalter__parso.338a5760
SWESMITH_013,getmoto__moto.694ce1f4.pr_7015,swesmith/getmoto__moto.694ce1f4,getmoto/moto,46b8630dd3675f342ae238cebe87ca4e6f26c70e,python,pr_mirror,pr_7015,mirror,1,4,23,6111,swesmith.x86_64.getmoto__moto.694ce1f4
SWESMITH_014,theskumar__python-dotenv.2b8635b7.combine_file__j62kft93,swesmith/theskumar__python-dotenv.2b8635b7,theskumar/python-dotenv,751bd1bc9337a71a92ea923060c57b05420bb42b,python,combine_file,combine_file,combine,2,12,109,2244,swesmith.x86_64.theskumar__python-dotenv.2b8635b7
SWESMITH_015,marshmallow-code__apispec.8b421526.lm_rewrite__gtxozph0,swesmith/marshmallow-code__apispec.8b421526,marshmallow-code/apispec,5002692a7f8bc28308e1b14dd0b08c823faa22c7,python,lm_rewrite,lm_rewrite,llm,1,382,177,2453,swesmith.x86_64.marshmallow-code__apispec.8b421526
SWESMITH_016,davidhalter__parso.338a5760.func_pm_ctrl_shuffle__65sp27s9,swesmith/davidhalter__parso.338a5760,davidhalter/parso,dcbba9eefea60f3cd18530761b48ffc2abaf2874,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,8,792,975,swesmith.x86_64.davidhalter__parso.338a5760
SWESMITH_017,pandas-dev__pandas.95280573.pr_57089,swesmith/pandas-dev__pandas.95280573,pandas-dev/pandas,2b39d54ad879bf377705ead5b08c329e010da6f8,python,pr_mirror,pr_57089,mirror,3,1,64,1535,swesmith.x86_64.pandas-dev__pandas.95280573
SWESMITH_018,facebookresearch__hydra.0f03eb60.lm_rewrite__004ka3pp,swesmith/facebookresearch__hydra.0f03eb60,facebookresearch/hydra,68f0ad8088ada69ad59ed3fbd421a9a17882ec6f,python,lm_rewrite,lm_rewrite,llm,1,2,11,950,swesmith.x86_64.facebookresearch__hydra.0f03eb60
SWESMITH_019,facebookresearch__hydra.0f03eb60.lm_rewrite__lkkqomao,swesmith/facebookresearch__hydra.0f03eb60,facebookresearch/hydra,01f01d3f7504365843ddf904d696050055d5e94c,python,lm_rewrite,lm_rewrite,llm,1,105,44,2034,swesmith.x86_64.facebookresearch__hydra.0f03eb60
SWESMITH_020,conan-io__conan.86f29e13.pr_13112,swesmith/conan-io__conan.86f29e13,conan-io/conan,2a57348904d338e83117266ec5d86a7519f6a90c,python,pr_mirror,pr_13112,mirror,1,4,27,2221,swesmith.x86_64.conan-io__conan.86f29e13
SWESMITH_021,rubik__radon.54b88e58.lm_rewrite__qx06rsix,swesmith/rubik__radon.54b88e58,rubik/radon,88f415a9f755fd11a105bba59debb08fbe89a31f,python,lm_rewrite,lm_rewrite,llm,1,2,268,1988,swesmith.x86_64.rubik__radon.54b88e58
SWESMITH_022,tkrajina__gpxpy.09fc46b3.lm_rewrite__joqpkv0n,swesmith/tkrajina__gpxpy.09fc46b3,tkrajina/gpxpy,bdd7e7669986cb5a9077ebd10d23fd6a9f1494ee,python,lm_rewrite,lm_rewrite,llm,1,1,142,3195,swesmith.x86_64.tkrajina__gpxpy.09fc46b3
SWESMITH_023,arrow-py__arrow.1d70d009.func_pm_ctrl_shuffle__wisn8mb8,swesmith/arrow-py__arrow.1d70d009,arrow-py/arrow,b21877ce3f12c8fdd8c1bde75659858c76461504,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,3,1849,984,swesmith.x86_64.arrow-py__arrow.1d70d009
SWESMITH_024,tox-dev__pipdeptree.c31b6418.func_pm_ctrl_shuffle__z2bvsjch,swesmith/tox-dev__pipdeptree.c31b6418,tox-dev/pipdeptree,9eb1735487db5b1c6824d2d5c3f0fff18109db3b,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,1,124,999,swesmith.x86_64.tox-dev__pipdeptree.c31b6418
SWESMITH_025,django__channels.a144b4b8.pr_2097,swesmith/django__channels.a144b4b8,django/channels,6dd6dc8d8ce1e9177800c6eb208bc61c5bb6343f,python,pr_mirror,pr_2097,mirror,1,1,76,935,swesmith.x86_64.django__channels.a144b4b8
SWESMITH_026,jaraco__inflect.c079a96a.lm_rewrite__wc4fd9gl,swesmith/jaraco__inflect.c079a96a,jaraco/inflect,1a7d98a154139392e5d2dea404b43ca9e14bdf71,python,lm_rewrite,lm_rewrite,llm,1,1,149,1005,swesmith.x86_64.jaraco__inflect.c079a96a
SWESMITH_027,tkrajina__gpxpy.09fc46b3.func_pm_remove_assign__nugmh04d,swesmith/tkrajina__gpxpy.09fc46b3,tkrajina/gpxpy,2515fd6332e8a830de884128302dbf0b79e0e858,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,30,113,830,swesmith.x86_64.tkrajina__gpxpy.09fc46b3
SWESMITH_028,encode__starlette.db5063c2.func_pm_ctrl_shuffle__f4j1ykgh,swesmith/encode__starlette.db5063c2,encode/starlette,63018be45773333889edbb540129c9338a622752,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,322,519,758,swesmith.x86_64.encode__starlette.db5063c2
SWESMITH_029,getmoto__moto.694ce1f4.pr_7605,swesmith/getmoto__moto.694ce1f4,getmoto/moto,fdc4efd581c0de920f0c41165f58099b86259b84,python,pr_mirror,pr_7605,mirror,1,3,15,6499,swesmith.x86_64.getmoto__moto.694ce1f4
SWESMITH_030,oauthlib__oauthlib.1fd52536.func_pm_remove_assign__w945anr8,swesmith/oauthlib__oauthlib.1fd52536,oauthlib/oauthlib,57ed0abefceaa1ec989bd41c2cdff0f3425f649c,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,3,670,975,swesmith.x86_64.oauthlib__oauthlib.1fd52536
SWESMITH_031,theskumar__python-dotenv.2b8635b7.lm_rewrite__zfuq5ykl,swesmith/theskumar__python-dotenv.2b8635b7,theskumar/python-dotenv,8dd6a9bfd07356f09139cf2bba0a49d8f9b46ac8,python,lm_rewrite,lm_rewrite,llm,1,1,120,1076,swesmith.x86_64.theskumar__python-dotenv.2b8635b7
SWESMITH_032,mido__mido.a0158ff9.lm_rewrite__mob59r3v,swesmith/mido__mido.a0158ff9,mido/mido,6e4c458f79133c2b5e82f9302a4f4632fa0e5202,python,lm_rewrite,lm_rewrite,llm,1,2,120,1177,swesmith.x86_64.mido__mido.a0158ff9
SWESMITH_033,iterative__dvc.1d6ea681.pr_8343,swesmith/iterative__dvc.1d6ea681,iterative/dvc,89518a66dbaf3eaaf2dc85cda6cdeac12d072499,python,pr_mirror,pr_8343,mirror,1,1,103,1181,swesmith.x86_64.iterative__dvc.1d6ea681
SWESMITH_034,rustedpy__result.0b855e1e.pr_185,swesmith/rustedpy__result.0b855e1e,rustedpy/result,79d1b4169695e473a8781ac6e083bbb330f2ae5c,python,pr_mirror,pr_185,mirror,1,3,46,1508,swesmith.x86_64.rustedpy__result.0b855e1e
SWESMITH_035,tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__5liurb5h,swesmith/tobymao__sqlglot.036601ba,tobymao/sqlglot,31767357ec34364872a8fd5f42f51d71641e9ab5,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,1,44,1052,swesmith.x86_64.tobymao__sqlglot.036601ba
SWESMITH_036,pylint-dev__astroid.b114f6b5.pr_2289,swesmith/pylint-dev__astroid.b114f6b5,pylint-dev/astroid,46501c334472792439bc7b9ad3095d8cb02c943c,python,pr_mirror,pr_2289,mirror,1,2,1591,1515,swesmith.x86_64.pylint-dev__astroid.b114f6b5
SWESMITH_037,pydantic__pydantic.acb0f10f.func_pm_remove_wrapper__1wa4y94n,swesmith/pydantic__pydantic.acb0f10f,pydantic/pydantic,41c695bac2bff310593bf7bc53c727defc39bcff,python,func_pm_remove_wrapper,func_pm_remove_wrapper,procedural,1,5,5433,1282,swesmith.x86_64.pydantic__pydantic.acb0f10f
SWESMITH_038,iterative__dvc.1d6ea681.func_pm_ctrl_invert_if__t14q5i46,swesmith/iterative__dvc.1d6ea681,iterative/dvc,beaa7a01d916af54d84bfcd613263bdf64904a79,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,15,9,800,swesmith.x86_64.iterative__dvc.1d6ea681
SWESMITH_039,mido__mido.a0158ff9.combine_file__wzi5wc05,swesmith/mido__mido.a0158ff9,mido/mido,74cc8a7069fe7c98628e66a5de230adb712d3cd0,python,combine_file,combine_file,combine,2,15,107,2660,swesmith.x86_64.mido__mido.a0158ff9
SWESMITH_040,conan-io__conan.86f29e13.pr_11971,swesmith/conan-io__conan.86f29e13,conan-io/conan,3c98bc736a3b12183135b945c033ce24ad3792c4,python,pr_mirror,pr_11971,mirror,2,1,36,1316,swesmith.x86_64.conan-io__conan.86f29e13
SWESMITH_041,sqlfluff__sqlfluff.50a1c4b6.lm_rewrite__cupu2wpp,swesmith/sqlfluff__sqlfluff.50a1c4b6,sqlfluff/sqlfluff,70971fdfbe3199ae92357c635aecd96c66445798,python,lm_rewrite,lm_rewrite,llm,1,4,6,2872,swesmith.x86_64.sqlfluff__sqlfluff.50a1c4b6
SWESMITH_042,buriy__python-readability.40256f40.func_pm_remove_assign__5jxoz8xs,swesmith/buriy__python-readability.40256f40,buriy/python-readability,21e4c7d90fcd97fadd9a78b52151cd9464fea8e7,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,7,4,725,swesmith.x86_64.buriy__python-readability.40256f40
SWESMITH_043,paramiko__paramiko.23f92003.lm_rewrite__5omeuvpt,swesmith/paramiko__paramiko.23f92003,paramiko/paramiko,5c2cf1f9f42768f6feaccef5415ae07bbef297c2,python,lm_rewrite,lm_rewrite,llm,1,1,553,563,swesmith.x86_64.paramiko__paramiko.23f92003
SWESMITH_044,datamade__usaddress.a42a8f0c.lm_rewrite__gvqcmfw6,swesmith/datamade__usaddress.a42a8f0c,datamade/usaddress,e80a4384d8c370278f38017badab13e82c56db72,python,lm_rewrite,lm_rewrite,llm,1,1,8,3534,swesmith.x86_64.datamade__usaddress.a42a8f0c
SWESMITH_045,pygments__pygments.27649ebb.pr_2545,swesmith/pygments__pygments.27649ebb,pygments/pygments,fe46ff4ef943841a1b03f62c797a979cb5c9e9ab,python,pr_mirror,pr_2545,mirror,1,5060,0,51332,swesmith.x86_64.pygments__pygments.27649ebb
SWESMITH_046,getmoto__moto.694ce1f4.pr_8607,swesmith/getmoto__moto.694ce1f4,getmoto/moto,b4b8a3e219524ba6a8cf858da31dc9d5a0a72dc5,python,pr_mirror,pr_8607,mirror,1,2,9,2910,swesmith.x86_64.getmoto__moto.694ce1f4
SWESMITH_047,pydicom__pydicom.7d361b3d.lm_rewrite__lqvpuu3c,swesmith/pydicom__pydicom.7d361b3d,pydicom/pydicom,72766df28bbf65f5f957775c44564fcb2d19a1a0,python,lm_rewrite,lm_rewrite,llm,1,9,2320,2790,swesmith.x86_64.pydicom__pydicom.7d361b3d
SWESMITH_048,joke2k__faker.8b401a7d.lm_rewrite__3my69znu,swesmith/joke2k__faker.8b401a7d,joke2k/faker,521620d2ee924e69d2ac54d7449f789e700b36b3,python,lm_rewrite,lm_rewrite,llm,1,2,2101,836,swesmith.x86_64.joke2k__faker.8b401a7d
SWESMITH_049,davidhalter__parso.338a5760.func_pm_class_rm_base__3jb4kazg,swesmith/davidhalter__parso.338a5760,davidhalter/parso,ea7ce76d5262b77a9e078085c9b78f92fc020967,python,func_pm_class_rm_base,func_pm_class_rm_base,procedural,2,14,786,618,swesmith.x86_64.davidhalter__parso.338a5760
SWESMITH_050,conan-io__conan.86f29e13.pr_15266,swesmith/conan-io__conan.86f29e13,conan-io/conan,5a443f00b51f9f8a2375837ecbfa2cd52f352052,python,pr_mirror,pr_15266,mirror,1,1,24,1638,swesmith.x86_64.conan-io__conan.86f29e13
SWESMITH_051,getnikola__nikola.0f4c230e.func_pm_op_change__rwhfh97z,swesmith/getnikola__nikola.0f4c230e,getnikola/nikola,97c64463062315fb71777a7fb39fdcd303aaf06b,python,func_pm_op_change,func_pm_op_change,procedural,1,47,384,907,swesmith.x86_64.getnikola__nikola.0f4c230e
SWESMITH_052,pydicom__pydicom.7d361b3d.lm_rewrite__50b4vtzv,swesmith/pydicom__pydicom.7d361b3d,pydicom/pydicom,6503566cc766f25d176e3491e98b98d96ab5c324,python,lm_rewrite,lm_rewrite,llm,1,8,2321,2615,swesmith.x86_64.pydicom__pydicom.7d361b3d
SWESMITH_053,dask__dask.5f61e423.pr_9573,swesmith/dask__dask.5f61e423,dask/dask,0b698e45c78d37f962b745463e4b04f2be3d792e,python,pr_mirror,pr_9573,mirror,1,1,0,4083,swesmith.x86_64.dask__dask.5f61e423
SWESMITH_054,getnikola__nikola.0f4c230e.func_pm_class_rm_funcs__loiwq6sx,swesmith/getnikola__nikola.0f4c230e,getnikola/nikola,07ea4e6b76d1ac3ca9db4d32b656b13527c6e247,python,func_pm_class_rm_funcs,func_pm_class_rm_funcs,procedural,1,4,338,2962,swesmith.x86_64.getnikola__nikola.0f4c230e
SWESMITH_055,seperman__deepdiff.ed252022.func_pm_remove_cond__tp5gnx93,swesmith/seperman__deepdiff.ed252022,seperman/deepdiff,17dd606d8c93b831aba7cc0174b14a652bb1e52c,python,func_pm_remove_cond,func_pm_remove_cond,procedural,1,2,917,998,swesmith.x86_64.seperman__deepdiff.ed252022
SWESMITH_056,dask__dask.5f61e423.pr_8544,swesmith/dask__dask.5f61e423,dask/dask,f1e2de32e23831970983005834f3bd0faee38e04,python,pr_mirror,pr_8544,mirror,1,1,17,2207,swesmith.x86_64.dask__dask.5f61e423
SWESMITH_057,pdfminer__pdfminer.six.1a8bd2f7.lm_rewrite__v8gi6dpt,swesmith/pdfminer__pdfminer.six.1a8bd2f7,pdfminer/pdfminer.six,5428c52b41b395bec4088eccf3d7d13af5193c09,python,lm_rewrite,lm_rewrite,llm,1,60,109,1253,swesmith.x86_64.pdfminer__pdfminer.six.1a8bd2f7
SWESMITH_058,pydantic__pydantic.acb0f10f.pr_9353,swesmith/pydantic__pydantic.acb0f10f,pydantic/pydantic,f4942c392cb5c19deb4ff1e0fa1aabb99d3ec0c3,python,pr_mirror,pr_9353,mirror,1,2,5436,1837,swesmith.x86_64.pydantic__pydantic.acb0f10f
SWESMITH_059,sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_invert_if__jve5a8nt,swesmith/sqlfluff__sqlfluff.50a1c4b6,sqlfluff/sqlfluff,7f6c23af3de99dec2cec973c81cf847814fc35d6,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,2,72,1291,swesmith.x86_64.sqlfluff__sqlfluff.50a1c4b6
SWESMITH_060,mahmoud__glom.fb3c4e76.lm_rewrite__llfh9un0,swesmith/mahmoud__glom.fb3c4e76,mahmoud/glom,a75d164458aa25b56670d3f8dc7cf0c0f2f85d26,python,lm_rewrite,lm_rewrite,llm,1,1,177,889,swesmith.x86_64.mahmoud__glom.fb3c4e76
SWESMITH_061,tobymao__sqlglot.036601ba.func_pm_remove_assign__4i3p4bf1,swesmith/tobymao__sqlglot.036601ba,tobymao/sqlglot,4c66a095e1fea4ec1001e2863b4eaae0c31bac22,python,func_pm_remove_assign,func_pm_remove_assign,procedural,2,3,1,1149,swesmith.x86_64.tobymao__sqlglot.036601ba
SWESMITH_062,tobymao__sqlglot.036601ba.func_pm_op_change_const__n6j6v9k8,swesmith/tobymao__sqlglot.036601ba,tobymao/sqlglot,4bf93d2c9d47c5be1c5d8fcdcbfe73b91586279e,python,func_pm_op_change_const,func_pm_op_change_const,procedural,1,1,6,1080,swesmith.x86_64.tobymao__sqlglot.036601ba
SWESMITH_063,Cog-Creators__Red-DiscordBot.33e0eac7.func_pm_ctrl_invert_if__rxgs897w,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,42e8968c5b680569a60c5080597f78516468d0ce,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,1,267,1272,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
SWESMITH_064,scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__cvtifmqt,swesmith/scanny__python-pptx.278b47b1,scanny/python-pptx,60c62a9c55e95ad9a53cffdf8911656c182d23aa,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,39,2618,476,swesmith.x86_64.scanny__python-pptx.278b47b1
SWESMITH_065,pydicom__pydicom.7d361b3d.pr_1859,swesmith/pydicom__pydicom.7d361b3d,pydicom/pydicom,d8c721f51add49163e091ce7ca28f88814f449e0,python,pr_mirror,pr_1859,mirror,1,2329,0,33391,swesmith.x86_64.pydicom__pydicom.7d361b3d
SWESMITH_066,oauthlib__oauthlib.1fd52536.func_pm_ctrl_shuffle__8k7oir2l,swesmith/oauthlib__oauthlib.1fd52536,oauthlib/oauthlib,69de45518a250b2f74dbc8564a752984f61ca23b,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,2,290,383,661,swesmith.x86_64.oauthlib__oauthlib.1fd52536
SWESMITH_067,PyCQA__flake8.cf1542ce.lm_rewrite__dknnrpee,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,a09598827170463cd9e2487d8dae9727a3e5d568,python,lm_rewrite,lm_rewrite,llm,1,1,418,1058,swesmith.x86_64.pycqa__flake8.cf1542ce
SWESMITH_068,conan-io__conan.86f29e13.pr_15999,swesmith/conan-io__conan.86f29e13,conan-io/conan,75643c170eca933457aed167766593f0fa258a4b,python,pr_mirror,pr_15999,mirror,1,2,28,2745,swesmith.x86_64.conan-io__conan.86f29e13
SWESMITH_069,bottlepy__bottle.a8dfef30.lm_rewrite__831i267x,swesmith/bottlepy__bottle.a8dfef30,bottlepy/bottle,fa4cabb29e8dd37654e0b36aa8a116100904c570,python,lm_rewrite,lm_rewrite,llm,1,1,364,855,swesmith.x86_64.bottlepy__bottle.a8dfef30
SWESMITH_070,tkrajina__gpxpy.09fc46b3.lm_rewrite__ip40k5p6,swesmith/tkrajina__gpxpy.09fc46b3,tkrajina/gpxpy,5121dd246af733d1be9b584be22c0b2718b61e8f,python,lm_rewrite,lm_rewrite,llm,1,3,140,1336,swesmith.x86_64.tkrajina__gpxpy.09fc46b3
SWESMITH_071,keleshev__schema.24a30457.lm_rewrite__dj8ak5s7,swesmith/keleshev__schema.24a30457,keleshev/schema,b6aeec7ef95c9212537401cb3fc7597f0b4880ca,python,lm_rewrite,lm_rewrite,llm,1,2,114,1439,swesmith.x86_64.keleshev__schema.24a30457
SWESMITH_072,python__mypy.e93f06ce.pr_5617,swesmith/python__mypy.e93f06ce,python/mypy,85ada3f66c874c1b3a4544000c685e8ee1c85e72,python,pr_mirror,pr_5617,mirror,3,1,1,591,swesmith.x86_64.python__mypy.e93f06ce
SWESMITH_073,burnash__gspread.a8be3b96.lm_rewrite__9nuqeqz0,swesmith/burnash__gspread.a8be3b96,burnash/gspread,8d9752f783222147d154dc611a097fb4cc97f42d,python,lm_rewrite,lm_rewrite,llm,1,1,148,2477,swesmith.x86_64.burnash__gspread.a8be3b96
SWESMITH_074,pexpect__ptyprocess.1067dbda.func_pm_op_swap__s2gwmv8x,swesmith/pexpect__ptyprocess.1067dbda,pexpect/ptyprocess,1115c17641a777a01af65dfb1d89ff5788164129,python,func_pm_op_swap,func_pm_op_swap,procedural,1,4,8,2072,swesmith.x86_64.pexpect__ptyprocess.1067dbda
SWESMITH_075,pygments__pygments.27649ebb.lm_rewrite__pngsawyy,swesmith/pygments__pygments.27649ebb,pygments/pygments,9bf4d323ab9043474e85bff4ec50dfde69d35a99,python,lm_rewrite,lm_rewrite,llm,1,1,5059,862,swesmith.x86_64.pygments__pygments.27649ebb
SWESMITH_076,davidhalter__parso.338a5760.func_pm_ctrl_shuffle__27bimpg0,swesmith/davidhalter__parso.338a5760,davidhalter/parso,3f11814cf7355f79280907a9396ef139f1652303,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,129,671,896,swesmith.x86_64.davidhalter__parso.338a5760
SWESMITH_077,seperman__deepdiff.ed252022.func_pm_remove_assign__mozddtek,swesmith/seperman__deepdiff.ed252022,seperman/deepdiff,a0f180dff2134eddbaffe13a3627904ebcd6f5c9,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,122,797,2102,swesmith.x86_64.seperman__deepdiff.ed252022
SWESMITH_078,pyca__pyopenssl.04766a49.lm_rewrite__fpldckla,swesmith/pyca__pyopenssl.04766a49,pyca/pyopenssl,62b224fe803ec49a38d74104a52d6306ff95d582,python,lm_rewrite,lm_rewrite,llm,1,1,448,1283,swesmith.x86_64.pyca__pyopenssl.04766a49
SWESMITH_079,pandas-dev__pandas.95280573.func_pm_ctrl_shuffle__84pgewhn,swesmith/pandas-dev__pandas.95280573,pandas-dev/pandas,19fe71e171fa835fc05a320f6b7dcd9bc3966f56,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,23,286,919,swesmith.x86_64.pandas-dev__pandas.95280573
SWESMITH_080,joke2k__faker.8b401a7d.func_pm_ctrl_invert_if__hz9kn07j,swesmith/joke2k__faker.8b401a7d,joke2k/faker,e4c64c211dd78d5487e2572b3f92496f0385ac96,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,1,2102,679,swesmith.x86_64.joke2k__faker.8b401a7d
SWESMITH_081,benoitc__gunicorn.bacbf8aa.pr_3258,swesmith/benoitc__gunicorn.bacbf8aa,benoitc/gunicorn,ad86d93e8c4c49141776972e22dbaeabbf333e95,python,pr_mirror,pr_3258,mirror,1,2,246,726,swesmith.x86_64.benoitc__gunicorn.bacbf8aa
SWESMITH_082,getmoto__moto.694ce1f4.pr_6509,swesmith/getmoto__moto.694ce1f4,getmoto/moto,afeb971a0b4896731a8773024751a3d135f22c9e,python,pr_mirror,pr_6509,mirror,3,1,18,691,swesmith.x86_64.getmoto__moto.694ce1f4
SWESMITH_083,conan-io__conan.86f29e13.pr_14508,swesmith/conan-io__conan.86f29e13,conan-io/conan,49844180ba6089ab3b3ada4575ef3700fb34574e,python,pr_mirror,pr_14508,mirror,1,1,13,898,swesmith.x86_64.conan-io__conan.86f29e13
SWESMITH_084,oauthlib__oauthlib.1fd52536.func_pm_ctrl_shuffle__ugi2x6nz,swesmith/oauthlib__oauthlib.1fd52536,oauthlib/oauthlib,001d80f299c41c2633fd6fd8a0b7171bc90823a3,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,2,6,667,7719,swesmith.x86_64.oauthlib__oauthlib.1fd52536
SWESMITH_085,gweis__isodate.17cb25eb.lm_rewrite__ghwxicip,swesmith/gweis__isodate.17cb25eb,gweis/isodate,6d7ebf474f9609b4dfd4cb96fbc45b9efa699341,python,lm_rewrite,lm_rewrite,llm,1,6,272,1150,swesmith.x86_64.gweis__isodate.17cb25eb
SWESMITH_086,pyupio__safety.7654596b.lm_rewrite__1swfdiwy,swesmith/pyupio__safety.7654596b,pyupio/safety,97b974ce8ae6c5b3afbc3bbc46848a0f9a9e5b26,python,lm_rewrite,lm_rewrite,llm,1,1,117,1768,swesmith.x86_64.pyupio__safety.7654596b
SWESMITH_087,encode__starlette.db5063c2.func_pm_ctrl_shuffle__2neu2b83,swesmith/encode__starlette.db5063c2,encode/starlette,1bc48336e695c81740d1d77916f57438a3762649,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,26,815,921,swesmith.x86_64.encode__starlette.db5063c2
SWESMITH_088,pydantic__pydantic.acb0f10f.pr_10506,swesmith/pydantic__pydantic.acb0f10f,pydantic/pydantic,2071292eccb2103aa1dd62d28554159cf4f6a22e,python,pr_mirror,pr_10506,mirror,1,5438,0,9869,swesmith.x86_64.pydantic__pydantic.acb0f10f
