instance_id,repo,upstream_repo,base_commit,language,generation_method,generation_method_raw,method_family,trajectory_count,fail_to_pass_count,pass_to_pass_count,patch_bytes,image_name
Project-MONAI__MONAI.a09c1f08.func_pm_remove_assign__szqny5dg,swesmith/Project-MONAI__MONAI.a09c1f08,Project-MONAI/MONAI,6b18bee83e3f72e986a5fe0bd843a518db29e9ca,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,6,1,1584,swesmith.x86_64.project-monai__monai.a09c1f08
Project-MONAI__MONAI.a09c1f08.lm_rewrite__8h8z33un,swesmith/Project-MONAI__MONAI.a09c1f08,Project-MONAI/MONAI,5df3be7d959afa596e7981dc90bc3da987519166,python,lm_rewrite,lm_rewrite,llm,1,2,17,6018,swesmith.x86_64.project-monai__monai.a09c1f08
Project-MONAI__MONAI.a09c1f08.pr_6147,swesmith/Project-MONAI__MONAI.a09c1f08,Project-MONAI/MONAI,f0c4635b4bde944f76bdffe1eac681f31bcadbcf,python,pr_mirror,pr_6147,mirror,3,8,25,10043,swesmith.x86_64.project-monai__monai.a09c1f08
PyCQA__flake8.cf1542ce.combine_file__4w2x9qv4,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,ec4e1776814b8634cd2dc25ad1bf1521abf97060,python,combine_file,combine_file,combine,1,46,366,7993,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_class_rm_funcs__duej91pm,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,3ca9408e09e469dffd9c9662f65d5cb0a8beb234,python,func_pm_class_rm_funcs,func_pm_class_rm_funcs,procedural,1,3,416,1246,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_ctrl_invert_if__fxhhbr2g,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,39345016ab2a5002489bab34e0b8739ab0497aa2,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,34,385,583,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_ctrl_shuffle__5n7sy421,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,f1e404dceb18553da2c767acbf3e095c42b52184,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,7,412,874,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_ctrl_shuffle__q7bpzo3h,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,4f2e7b36b3d60267cad7c9f19fe353013e2a16d5,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,1,418,1565,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_ctrl_shuffle__qsghjo81,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,a95e4bb0bf64979c56175640ddde28137af83248,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,48,371,1164,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.func_pm_remove_assign__zp1dya4y,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,69926e32eeb1a8f915bf9f056272342c5473e617,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,2,417,789,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__3ajv1y7u,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,41844bd9dd0e1c7ca698ddf4fb0bed0cc34c3dcd,python,lm_rewrite,lm_rewrite,llm,1,5,414,1920,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__3x7j5f9p,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,bc99201e619b0339ed3c3b5e201d7018010215bf,python,lm_rewrite,lm_rewrite,llm,1,2,417,2023,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__66qort36,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,1ce26140805d686be6a6e6bea8a73416ed00449c,python,lm_rewrite,lm_rewrite,llm,1,2,417,1413,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__6ocgpfht,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,8cd18146fbd1ed8c918600eb58e04cd526ce47c6,python,lm_rewrite,lm_rewrite,llm,1,4,415,901,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__823ys1nv,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,49699b3bbc7e8d36967bd649aae83028765973fd,python,lm_rewrite,lm_rewrite,llm,1,9,410,2516,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__9gihu94q,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,f15ec971ebb8590a1a1bd838e087d60d1bf9b3d4,python,lm_rewrite,lm_rewrite,llm,1,31,388,2584,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__a08bo2fe,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,b41be6c21eecf216abdaf384d356c44ea50fdc09,python,lm_rewrite,lm_rewrite,llm,1,25,394,823,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__akiiq6ow,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,7dd8e90bf6a9cb83835641a1f99ed5388b8ecf7d,python,lm_rewrite,lm_rewrite,llm,1,1,418,1804,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__b6whkv34,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,cabe8913cdb8bbdc62d21852202db1ba667aecba,python,lm_rewrite,lm_rewrite,llm,1,34,385,1558,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__bt6tbjcp,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,202952718fff352ab7de7704d6f34eeaf42e7415,python,lm_rewrite,lm_rewrite,llm,1,26,393,766,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__cvktnvjd,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,04d5f654d7f8fc51059d0782b298ae0c21b1bbff,python,lm_rewrite,lm_rewrite,llm,1,26,393,826,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__dknnrpee,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,a09598827170463cd9e2487d8dae9727a3e5d568,python,lm_rewrite,lm_rewrite,llm,1,1,418,1058,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__duachdou,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,7e042fe2789177e5ea83c589c06786b322dc80d0,python,lm_rewrite,lm_rewrite,llm,1,1,418,931,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__enjl5pt4,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,9884b711ca22e5be3ac6dada05ac096c614cd1cb,python,lm_rewrite,lm_rewrite,llm,1,3,416,3354,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__f1y1fi14,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,98190e86638ccb61da8abd369e8c82fa0aa93687,python,lm_rewrite,lm_rewrite,llm,1,5,414,1260,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__grfj70s6,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,60f8475fe2eaad904fb666b8e39c029079ac97d7,python,lm_rewrite,lm_rewrite,llm,1,26,393,1712,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__hvj9yvxx,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,6e2e39144e1f11a272b02db7077bee5ac845726d,python,lm_rewrite,lm_rewrite,llm,1,26,393,810,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__iv2wbk4l,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,6d5149ccb53f3330c54738a8b9af21abe6b38db4,python,lm_rewrite,lm_rewrite,llm,1,31,388,3317,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__ivcadf6q,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,42d5bc70fc821050332d766592f9eb5acb461708,python,lm_rewrite,lm_rewrite,llm,1,26,393,839,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__j6qexme9,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,70899d5c4304c96df02153ce6b3c84ceef1f6d0f,python,lm_rewrite,lm_rewrite,llm,1,4,415,1364,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__k4azrl8j,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,c6ec85f0a5d3ede04f0ee5d06975e1077d2cff75,python,lm_rewrite,lm_rewrite,llm,1,2,417,3045,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__leg7x60v,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,dfb4a49e5d1786acd483a3fc672d86c1d94d1353,python,lm_rewrite,lm_rewrite,llm,1,3,416,3493,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__otym3sbp,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,42ebb79b6e4c9fece6d9d17ea394bb13351f09f9,python,lm_rewrite,lm_rewrite,llm,1,3,416,741,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__qx9dcbnp,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,c13f076858818f60231560d0e6777fddf27c16ef,python,lm_rewrite,lm_rewrite,llm,1,1,418,944,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__sfbn4mgu,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,ad33e373da1f6ff93b751c322f254bc9b2e01cf5,python,lm_rewrite,lm_rewrite,llm,1,19,400,931,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__wimss4pz,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,267bb0892934bed380d5a815634143694d0173aa,python,lm_rewrite,lm_rewrite,llm,1,3,416,746,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__x521e2aj,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,a421cd4d88f5f894b84674dc5ec84fa94b0f2c2a,python,lm_rewrite,lm_rewrite,llm,1,1,418,1749,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__yh5du3ns,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,30b5e4a82f04c00663380704adc8d233bcb9cddd,python,lm_rewrite,lm_rewrite,llm,1,1,418,700,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.lm_rewrite__zr4swpdd,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,2b8722051ed2b8422ec801b317b56f162351ceb8,python,lm_rewrite,lm_rewrite,llm,1,1,418,677,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.pr_1832,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,1d8bd00f5c3aa03d0987a80907e281bdf80c04ca,python,pr_mirror,pr_1832,mirror,1,419,0,644,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.pr_1847,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,3fcd831abad518ddfc5dd5bdca0df4a39ea13255,python,pr_mirror,pr_1847,mirror,1,1,418,464,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.pr_1849,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,806f8c697b3d00bcc3505f711c73b0ef513a05a2,python,pr_mirror,pr_1849,mirror,1,419,0,7877,swesmith.x86_64.pycqa__flake8.cf1542ce
PyCQA__flake8.cf1542ce.pr_1966,swesmith/PyCQA__flake8.cf1542ce,PyCQA/flake8,b3f58e9f40a90762f31ae779b158839105e6f957,python,pr_mirror,pr_1966,mirror,1,38,381,355,swesmith.x86_64.pycqa__flake8.cf1542ce
Suor__funcy.207a7810.combine_file__5c2gq3ju,swesmith/Suor__funcy.207a7810,Suor/funcy,0db4a4a6f56e5453ded647db73a24a000708560c,python,combine_file,combine_file,combine,2,6,197,1580,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.combine_file__724bnxkn,swesmith/Suor__funcy.207a7810,Suor/funcy,764be12126dd02f9659c7d2099b4d46bffc034e8,python,combine_file,combine_file,combine,2,6,197,1828,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.combine_file__lu54fx6d,swesmith/Suor__funcy.207a7810,Suor/funcy,853b7378bf23e0490ded85761648f69fea77c7f1,python,combine_file,combine_file,combine,2,16,187,1889,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.combine_file__rdclwp0z,swesmith/Suor__funcy.207a7810,Suor/funcy,163ce91e9115a8ee24ce599f1d6af991efde5b41,python,combine_file,combine_file,combine,2,6,197,1593,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.func_pm_remove_assign__5yufyy2a,swesmith/Suor__funcy.207a7810,Suor/funcy,91ad96f60f9cb8f81d378b85706a35617ffb710e,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,6,197,1343,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__01e30g2p,swesmith/Suor__funcy.207a7810,Suor/funcy,873bc76f11dd7db56e231e30eac85fc0a0fa3e99,python,lm_rewrite,lm_rewrite,llm,1,1,202,726,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__0qqkv50w,swesmith/Suor__funcy.207a7810,Suor/funcy,f8b50cb71f4d6e89c0a5e94af0db100d93978757,python,lm_rewrite,lm_rewrite,llm,1,1,202,845,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__2vgfqsf8,swesmith/Suor__funcy.207a7810,Suor/funcy,25ac49438500d1cff17fb4a477fad55875ff8b85,python,lm_rewrite,lm_rewrite,llm,1,3,200,1718,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__3w49srf1,swesmith/Suor__funcy.207a7810,Suor/funcy,bc21a4a19df074b92a1c17db3767a44a31dd00db,python,lm_rewrite,lm_rewrite,llm,1,1,202,1902,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__45lf60iz,swesmith/Suor__funcy.207a7810,Suor/funcy,31e122c38f21f50c374b26eaadc274b94c8ca33b,python,lm_rewrite,lm_rewrite,llm,1,2,201,1894,swesmith.x86_64.suor__funcy.207a7810
Suor__funcy.207a7810.lm_rewrite__4u23494f,swesmith/Suor__funcy.207a7810,Suor/funcy,a6bf1bf05e8faa78061aa537207114c659d07570,python,lm_rewrite,lm_rewrite,llm,1,1,202,885,swesmith.x86_64.suor__funcy.207a7810
