case_id,repo,language,packet_path,packet_sha256
SWESMITH_024,tox-dev/pipdeptree,python,data/review_packets/SWESMITH_024,ec7c87e83024e3b055edd641335203bc5d870b762d412377652b4102aa39e1d5
SWESMITH_025,django/channels,python,data/review_packets/SWESMITH_025,c71b99528e485883c3a6482c4f4f259cdb965fd7f205c43745a097d30ec66a6b
SWESMITH_026,jaraco/inflect,python,data/review_packets/SWESMITH_026,9b2557b3b32ecd39c3ccd58c32984e328cd134b5be855568bf9f6573ad400611
SWESMITH_027,tkrajina/gpxpy,python,data/review_packets/SWESMITH_027,dcd5e504f5723d8fd0fe582d9e2e75167d4f40912f774f7748c43d759fce8e9f
SWESMITH_028,encode/starlette,python,data/review_packets/SWESMITH_028,7f32f251f8cefbf5186fd4196d00616416b94dc1857021d92a9c17846f6f4275
SWESMITH_029,getmoto/moto,python,data/review_packets/SWESMITH_029,99cf87cf106268bb8a4888569c6cac4e090efc8e000fca3a92fa52fe8bf0636a
SWESMITH_030,oauthlib/oauthlib,python,data/review_packets/SWESMITH_030,1ff1b9b5937e5af47846cdc5b54c00bc5fecca45a2427f58a3f1daec7fe9ce66
SWESMITH_031,theskumar/python-dotenv,python,data/review_packets/SWESMITH_031,72edd55cf43dce9b006e3403c96950b6cf64249c6462e549ac2f32488c513de5
SWESMITH_032,mido/mido,python,data/review_packets/SWESMITH_032,8ebaa9662c034d964dff42c53cf7b96a1ba16b5441684944c5c35edb344dba27
SWESMITH_033,iterative/dvc,python,data/review_packets/SWESMITH_033,635766f07899086d495dc96ee8be0a4a50530d257a42bd755724c304406e1f75
SWESMITH_034,rustedpy/result,python,data/review_packets/SWESMITH_034,c6c9f471b150755652df9ec21b9f99517c3d820be5d7fb5ad181844c2093cace
SWESMITH_035,tobymao/sqlglot,python,data/review_packets/SWESMITH_035,e88666a114fb116cccef85b7382a18d86cfb0c2bb2ceb391b05e392f92dd1acf
SWESMITH_036,pylint-dev/astroid,python,data/review_packets/SWESMITH_036,1061db119c2c89876eab9b1deb6734e6a76a3fed5fb9c5b42bb9dbc120f29e33
SWESMITH_037,pydantic/pydantic,python,data/review_packets/SWESMITH_037,9cb6bae1698483e0ee84fdf455906a832b203555a051ec261dd78f92b666989e
SWESMITH_038,iterative/dvc,python,data/review_packets/SWESMITH_038,539f5d4faf5a65a81d820a34057cec4134c0ce0bd624c68a112e67fa76120c3f
SWESMITH_039,mido/mido,python,data/review_packets/SWESMITH_039,e024968f80ba8f2e8a196a22e6f82f15493cbb3dce377e947564ca35e99949fe
SWESMITH_040,conan-io/conan,python,data/review_packets/SWESMITH_040,950065a6cd66811fe8ceebd2585c21239abae5653784541c67b30ff4627841ea
SWESMITH_041,sqlfluff/sqlfluff,python,data/review_packets/SWESMITH_041,47e0eb0960b37e5532e033ad4da6edf01f51bb8691a2207c0b1116f48fed7954
SWESMITH_042,buriy/python-readability,python,data/review_packets/SWESMITH_042,b0071dd0f1f531949d5e7e1c92e3568dc8fbd9364e1659a0fba6db3d10b643f8
SWESMITH_043,paramiko/paramiko,python,data/review_packets/SWESMITH_043,11823ef2a451347fb6f6e319e86fa464a3a85909b84461aa1fe418273089aa63
SWESMITH_044,datamade/usaddress,python,data/review_packets/SWESMITH_044,144cf8655145db9a7b2f7a17daa2fb2cdc5310e4c4a7ad19825ebfe265daa763
SWESMITH_045,pygments/pygments,python,data/review_packets/SWESMITH_045,680278551dd4d233d2ff778500b1e560a35118fa9046eed7007adbb47404ee04
SWESMITH_046,getmoto/moto,python,data/review_packets/SWESMITH_046,b5bd6d31b625c4f73fd3ea1dd30ef26f4d7fd07398737e72c8183c936f38094d
SWESMITH_047,pydicom/pydicom,python,data/review_packets/SWESMITH_047,8540c539b705e35810c501a3b4757c22b3f764bb0986842e45fb349833652bad
SWESMITH_048,joke2k/faker,python,data/review_packets/SWESMITH_048,188b388b6a750ebc0cba272a58efcbece6e18c4648855a3cbe3ff24cd4e17ce4
SWESMITH_049,davidhalter/parso,python,data/review_packets/SWESMITH_049,3366d0394c0b2afa5e0b824838f9bda234e90c24ea44f6d9c6db6d5fc83b9007
SWESMITH_050,conan-io/conan,python,data/review_packets/SWESMITH_050,8138c43e7cf79047110e6acdbe5ff47ed0ac794c6823627334b7b6d70cc767e8
SWESMITH_051,getnikola/nikola,python,data/review_packets/SWESMITH_051,4df2687eff5dd7de85eaaf82fbce99e2b8dadeb4f0541b2d259ca911c48a22c2
SWESMITH_052,pydicom/pydicom,python,data/review_packets/SWESMITH_052,1a7c1fbcc1950a59bdfa645ada88b7535341e0ed293b17c9e3f493c47508d788
SWESMITH_053,dask/dask,python,data/review_packets/SWESMITH_053,bb77d6fb9e1c1ed4958d6041a89585cd3980bf0c3a0101bccc44fd87732582f6
SWESMITH_054,getnikola/nikola,python,data/review_packets/SWESMITH_054,9264023cc186b8e0aa1b14b1d2340955b62c91739dfde6d44fd00907caaa3daa
SWESMITH_055,seperman/deepdiff,python,data/review_packets/SWESMITH_055,948f3d31a46d12f10aea0a509b983526f516c3269b91df07cf6d2c9500861617
SWESMITH_056,dask/dask,python,data/review_packets/SWESMITH_056,09d09e7b2312735d53a11f8b53c25c2175cbc617f96d3743a73be29ce50ff474
SWESMITH_057,pdfminer/pdfminer.six,python,data/review_packets/SWESMITH_057,34cddff3e2f95c3eb8f0186436c83b7669880a26ade85e98f728332ffdbd1140
SWESMITH_058,pydantic/pydantic,python,data/review_packets/SWESMITH_058,b58d2d4e47f01f280534587dd5786a3ef5b28894f989e156cdafdb5f57d3a849
SWESMITH_059,sqlfluff/sqlfluff,python,data/review_packets/SWESMITH_059,c6370fe2de4a412974af708034bf32db735f09ae4a9782418158e81a4cfefa9a
SWESMITH_060,mahmoud/glom,python,data/review_packets/SWESMITH_060,2f71b2db5cab03bcd903de7a4c16be88cd6095ed2616d72dc6f59276f8705481
SWESMITH_061,tobymao/sqlglot,python,data/review_packets/SWESMITH_061,5390099b7f51fdc6ea147f432411623e899930b425cde1e961df3c7da66ed7dc
SWESMITH_062,tobymao/sqlglot,python,data/review_packets/SWESMITH_062,fde5b3e4426e4be575cf62a20a5aa615de0ef419fbfe2806282b5e70426455fd
SWESMITH_063,Cog-Creators/Red-DiscordBot,python,data/review_packets/SWESMITH_063,8f97a013c808e1d20c0d3c2a898110ed47d82664e15af65f7dc950ac854d99bb
SWESMITH_064,scanny/python-pptx,python,data/review_packets/SWESMITH_064,d59503b7e2e16f90b9623b6c0904b5082677bdf431ed0b28775d03b9150a4d09
SWESMITH_065,pydicom/pydicom,python,data/review_packets/SWESMITH_065,77c6d2326e33f9c6bdca7abd41fe3192af296d329de708958c87064a63c4c0ef
SWESMITH_066,oauthlib/oauthlib,python,data/review_packets/SWESMITH_066,0a285350fd8e7c649a0ab268d582eea3f7d05e0f156a513982d74fae4e8d3344
SWESMITH_067,PyCQA/flake8,python,data/review_packets/SWESMITH_067,e48abfc9f749f00334b84a90e84cf7bef62f6fd82d8645d4fa6fdb643afd8383
SWESMITH_068,conan-io/conan,python,data/review_packets/SWESMITH_068,3090e03640e9e3b87a42612f00062b06f3f1895c05b92c1a630472078bc97cf1
SWESMITH_069,bottlepy/bottle,python,data/review_packets/SWESMITH_069,9c703c8866b41347a413a899882581f144e96fa37ff6d1f1fd0c09848e523e70
SWESMITH_070,tkrajina/gpxpy,python,data/review_packets/SWESMITH_070,5391d0e5e9152a17655496da7ffc8f1d21bca6597dca6eb845d3da408bfd6254
SWESMITH_071,keleshev/schema,python,data/review_packets/SWESMITH_071,4bafb104b3be70d4fc0560324ef3e50b645fb094364b775f885363f5f52586df
SWESMITH_072,python/mypy,python,data/review_packets/SWESMITH_072,23e4032ccba8cd746c59a4959bf35f6ee515ef874b28f7dc1a5d39cef9a259b1
SWESMITH_073,burnash/gspread,python,data/review_packets/SWESMITH_073,0addd77c1f4641ec1ccb549074baeb1d32e24b8f12007e7cb856dde849c1c8e7
SWESMITH_074,pexpect/ptyprocess,python,data/review_packets/SWESMITH_074,0caca4bf7e5177ebc34a78a6d0a38e9666f54a892209a80e5686fd6fd8ce8ab0
SWESMITH_075,pygments/pygments,python,data/review_packets/SWESMITH_075,e431402066e7b45e67297c734f2193249c91a4f18186168ee02482742c437122
SWESMITH_076,davidhalter/parso,python,data/review_packets/SWESMITH_076,0ca6d0372c57052eee49f5cb905675cf410745cc04b7020aab7d75f6ddee9e53
SWESMITH_077,seperman/deepdiff,python,data/review_packets/SWESMITH_077,ea84006ab6d87ee3c7886f181e90c40afd4f1377f4cbb293ff96dd19aac64abb
SWESMITH_078,pyca/pyopenssl,python,data/review_packets/SWESMITH_078,7b8966bb220963ae688a3403f6c5daae5b5f13afa9728001ea87912af0b5fa01
SWESMITH_079,pandas-dev/pandas,python,data/review_packets/SWESMITH_079,5e8d1368cb5d5d97f0b03b67c0a15568460806a3fe55338193916d3fbeced7ff
SWESMITH_080,joke2k/faker,python,data/review_packets/SWESMITH_080,d1138d647a60ec641f77303084d5da4d6cfdc460fc75fce483c3b6b464d1117e
SWESMITH_081,benoitc/gunicorn,python,data/review_packets/SWESMITH_081,e2e13219a1c3de3e32f07920ff9fea1df6150a2715ac80cc58c97a604b95a80c
SWESMITH_082,getmoto/moto,python,data/review_packets/SWESMITH_082,25555e1898d0765b0c828c68e05902bf2520b0f4f7172d68a7a52b53d467d966
SWESMITH_083,conan-io/conan,python,data/review_packets/SWESMITH_083,a2348a1e47366a671208ace5d30e136c0341ec9686e52ff5faea31f5e6dcd654
SWESMITH_084,oauthlib/oauthlib,python,data/review_packets/SWESMITH_084,7edb425d59b784778418594e72ce3e1cce1d1389fa9fda3593e42fa487c49a49
SWESMITH_085,gweis/isodate,python,data/review_packets/SWESMITH_085,d4c377bdd41836ff077529e586a8a5efc575a93c32f6e99f4f3e2fad647bfaa2
SWESMITH_086,pyupio/safety,python,data/review_packets/SWESMITH_086,5da53c2077f97299a83d50462a3ccba65c0a0f6f8a233475a343afbfc8bb34ad
SWESMITH_087,encode/starlette,python,data/review_packets/SWESMITH_087,6535574cd796c0056b1dc565df652ee79d6d53e03a04ade90cb7d663fbd6ddcf
SWESMITH_088,pydantic/pydantic,python,data/review_packets/SWESMITH_088,20300d939ee182a91b3a1c963a3c4d8fd9e08f922f79a3cec5dc50765781fac3
SWESMITH_089,sqlfluff/sqlfluff,python,data/review_packets/SWESMITH_089,5b0f0b45637d557e906dd08a1d5344552142b463580fed5130ecf5ccce658c61
SWESMITH_090,tobymao/sqlglot,python,data/review_packets/SWESMITH_090,7b3278ff87954be3eb1f1a3bc22d7d85960617f38e49d4e12135587ab351c4af
SWESMITH_091,tobymao/sqlglot,python,data/review_packets/SWESMITH_091,586e73e454c1b1f06b857cfaa08eb04262d00776cce0d681626b9a3de39021f9
SWESMITH_092,jsvine/pdfplumber,python,data/review_packets/SWESMITH_092,d4f81e5285b244c0cb8b1a54935cce7a126e8b1f74119f574dae54d58bdcd7ce
SWESMITH_093,marshmallow-code/apispec,python,data/review_packets/SWESMITH_093,8bfde210df5fbaf57c32b01c350bfebf4861d2eb67baf77733e0eaf775774557
SWESMITH_094,pandas-dev/pandas,python,data/review_packets/SWESMITH_094,bb4613c6abb7ea0edfe1ca46460d99a745d8fa38330b6252be61d1dea044310a
SWESMITH_095,scanny/python-pptx,python,data/review_packets/SWESMITH_095,75a0f8b8928371a7bc01a72dea6b523dcd82f82275c2b0724fde9bd60cd69b26
SWESMITH_096,getmoto/moto,python,data/review_packets/SWESMITH_096,4354e3ff6e2546b086325786a0669ee26e962f51498639c103848c8aa3daaa7e
SWESMITH_097,pylint-dev/astroid,python,data/review_packets/SWESMITH_097,4658416840fca190ffd2f58a54d580e6a55af144f50226a4ea56f24d88841006
SWESMITH_098,pallets/click,python,data/review_packets/SWESMITH_098,4442b1ad8f1a77c62b37748f5ee0eab32ff8d59a38c42af3012a9cc83c8ff8a5
SWESMITH_099,joke2k/faker,python,data/review_packets/SWESMITH_099,d92098b888b08fe37e6d3f54d722df9fb353822d8ab87654dcd161d8aaa756bb
SWESMITH_100,theskumar/python-dotenv,python,data/review_packets/SWESMITH_100,59638e83ac90e72a4bf2b42b0e23a41d560d012bb027d260a216bfeff6554c48
